iso3,country,year,sub_region_name,region_name,sdg_region,variable,question_number,source_name,population,count,comment_from_country,sex,Order 
CAN,Canada,2019,Northern America,Americas,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Females,7.1.6,SDG,37782934.5,2.5,,female,2
CHE,Switzerland,2021,Western Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Females,7.1.6,CTS,8707023.5,1.1,,female,2
CHL,Chile,2023,South America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Physical violence Females,7.1.6,CTS,19658835,2.7,,female,2
CMR,Cameroon,2018,Middle Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Physical violence Females,7.1.6,SDG,24806383,18.4,,female,2
COD,Democratic Republic of the Congo,2017,Middle Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,87083398,5.547170639,Survey sample covers women and men aged 15-49,female,2
COM,Comoros,2022,Eastern Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,834188,3.269606113,Survey sample covers women and men aged 15-49,female,2
CPV,Cabo Verde,2016,Western Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Physical violence Females,7.1.6,CTS,512554.5,4.5,,female,2
CUB,Cuba,2019,Caribbean,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,11202846.5,0.556113303,Survey sample covers women and men aged 15-49,female,2
DEU,Germany,2020,Western Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Females,7.1.6,CTS,83628708.5,1.6,,female,2
FJI,Fiji,2021,Melanesia,Oceania,Oceania (M49) excluding Australia and New Zealand (M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,916711,5.657739639,Survey sample covers women and men aged 15-49,female,2
FRA,France,2019,Western Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Females,7.1.6,CTS,65729459,2.3,,female,2
GBR_E_W,United Kingdom (England and Wales),2024,Northern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Females,7.1.6,SDG,,1.2,,female,2
GBR_S,United Kingdom (Scotland),2023,Northern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Females,7.1.6,CTS,5490100,2.4,,female,2
GEO,Georgia,2018,Western Asia,Asia,Western Asia (M49) and Northern Africa (M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,3794877,0.940480351,Survey sample covers women and men aged 15-49,female,2
GUY,Guyana,2019,South America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,807665,5.612082958,Survey sample covers women and men aged 15-49,female,2
HND,Honduras,2019,Central America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,9943633.5,5.160964966,Survey sample covers women aged 15-49 and men aged 15-59,female,2
ISR,Israel,2024,Western Asia,Asia,Western Asia (M49) and Northern Africa (M49),Prevalence Rate of Physical violence Females,7.1.6,CTS,9387021,0.9115,,female,2
ITA,Italy,2023,Southern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Females,7.1.6,CTS,59499453,0.9,,female,2
KIR,Kiribati,2018,Micronesia,Oceania,Oceania (M49) excluding Australia and New Zealand (M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,122083.5,4.584125042,Survey sample covers women and men aged 15-49,female,2
KOR,Republic of Korea,2016,Eastern Asia,Asia,Eastern Asia (M49) and South-eastern Asia (MDG=M49),Prevalence Rate of Physical violence Females,7.1.6,CTS,51297839,0.2,,female,2
LSO,Lesotho,2018,Southern Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,2183603,6.199431419,Survey sample covers women and men aged 15-49,female,2
LUX,Luxembourg,2020,Western Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Females,7.1.6,CTS,630597,4.44936522,,female,2
LVA,Latvia,2021,Northern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Females,7.1.6,SDG,1885587,16,,female,2
MDG,Madagascar,2018,Eastern Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,27494926,5.090984344,Survey sample covers women and men aged 15-49,female,2
MEX,Mexico,2024,Central America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Physical violence Females,7.1.6,CTS,130861007,5.5,"Fuente: Encuesta Nacional de Victimización y Percepción de Seguridad Pública (ENVIPE), 2022, 2023, 2024 y 2025.",female,2
MNE,Montenegro,2018,Southern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,615795,1.180679679,Survey sample covers women and men aged 15-49,female,2
MNG,Mongolia,2018,Eastern Asia,Asia,Eastern Asia (M49) and South-eastern Asia (MDG=M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,3167706,5.880955696,Survey sample covers women and men aged 15-49,female,2
MWI,Malawi,2019,Eastern Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,19025752,5.92173624,Survey sample covers women and men aged 15-49,female,2
NZL,New Zealand,2024,Australia and New Zealand,Oceania,Australia and New Zealand (M49),Prevalence Rate of Physical violence Females,7.1.6,CTS,5213944,2.2,,female,2
PAK,Pakistan,2019,Southern Asia,Asia,Central Asia (M49) and Southern Asia (MDG=M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,230800898.5,0.851177812,Survey sample covers women and men aged 15-49,female,2
PRT,Portugal,2022,Southern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Females,7.1.6,SDG,10417072.5,3.2,,female,2
SUR,Suriname,2018,South America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,599512.5,3.252818823,Survey sample covers women and men aged 15-49,female,2
SVN,Slovenia,2020,Southern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Females,7.1.6,CTS,2102419.5,1.6,,female,2
SWZ,Eswatini,2021,Southern Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,1206593.5,2.673711777,Survey sample covers women and men aged 15-49,female,2
TCA,Turks and Caicos Islands,2019,Caribbean,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,43165.5,3.212244272,Survey sample covers women and men aged 15-49,female,2
TCD,Chad,2019,Middle Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,16685223,4.298505306,Survey sample covers women and men aged 15-49,female,2
THA,Thailand,2022,South-Eastern Asia,Asia,Eastern Asia (M49) and South-eastern Asia (MDG=M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,71735329,0.161828354,Survey sample covers women and men aged 15-49,female,2
TON,Tonga,2019,Polynesia,Oceania,Oceania (M49) excluding Australia and New Zealand (M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,105669.5,1.731385469,Survey sample covers women and men aged 15-49,female,2
TUN,Tunisia,2023,Northern Africa,Africa,Western Asia (M49) and Northern Africa (M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,12200431,1.850251317,Survey sample covers women and men aged 15-49,female,2
